path,subject,book,unit,difficulty,single,groups,subquestions,choice_subquestions,single_prefixes,single_numbered,group_numbered,count_note,answer_single,answer_groups,answer_subquestions,answer_single_letters,explanation_markers,total,tables,media_files,drawing_elements,pict_elements,math_elements,consistent,folder_code_differs
example/biology/Book 1/1-1多采多姿的生命/中等/d1-2m-題目卷.docx,biology,Book 1,1-1多采多姿的生命,中等,30,3,6,6,30,30,3,,30,3,6,30,33,36,0,3,3,0,0,True,True
example/biology/Book 1/1-1多采多姿的生命/困難/d1-1h-題目卷.docx,biology,Book 1,1-1多采多姿的生命,困難,8,0,0,0,8,8,0,,8,0,0,8,8,8,0,0,0,0,0,True,False
example/biology/Book 1/1-1多采多姿的生命/簡單/d1-1e-題目卷.docx,biology,Book 1,1-1多采多姿的生命,簡單,30,1,2,2,30,30,1,,30,1,2,30,31,32,0,2,1,1,0,True,False
example/biology/Book 1/1-2探究自然科學的方法/中等/d1-2m-題目卷.docx,biology,Book 1,1-2探究自然科學的方法,中等,60,30,78,77,60,60,30,,60,30,78,60,90,138,38,25,11,3,0,True,False
example/biology/Book 1/1-2探究自然科學的方法/困難/d1-2h-題目卷.docx,biology,Book 1,1-2探究自然科學的方法,困難,5,0,0,0,5,5,0,,5,0,0,5,5,5,1,2,1,0,0,True,False
example/biology/Book 1/1-2探究自然科學的方法/簡單/d1-2e-題目卷.docx,biology,Book 1,1-2探究自然科學的方法,簡單,40,5,12,12,40,40,5,,40,5,12,40,45,52,3,3,1,0,0,True,False
example/biology/Book 1/1-3進入實驗室/中等/d1-3m-題目卷.docx,biology,Book 1,1-3進入實驗室,中等,120,20,79,71,120,120,20,,120,20,79,120,140,199,18,157,73,65,0,True,False
example/biology/Book 1/1-3進入實驗室/困難/d1-3h-題目卷.docx,biology,Book 1,1-3進入實驗室,困難,23,1,3,3,23,23,1,,23,1,3,23,24,26,4,33,20,13,0,True,False
example/biology/Book 1/1-3進入實驗室/簡單/d1-3e-題目卷.docx,biology,Book 1,1-3進入實驗室,簡單,65,1,2,2,65,65,1,,65,1,2,65,66,67,5,58,23,33,0,True,False
example/biology/Book 1/2-1生物體的基本單位/中等/d2-1m-題目卷.docx,biology,Book 1,2-1生物體的基本單位,中等,40,5,19,16,40,40,5,,40,5,19,40,45,59,2,21,12,9,0,True,False
example/biology/Book 1/2-1生物體的基本單位/困難/d2-1h-題目卷.docx,biology,Book 1,2-1生物體的基本單位,困難,4,1,2,2,4,4,1,,4,1,2,4,5,6,1,0,0,0,0,True,False
example/biology/Book 1/2-1生物體的基本單位/簡單/d2-1e-題目卷.docx,biology,Book 1,2-1生物體的基本單位,簡單,30,3,6,6,30,30,3,,30,3,6,30,33,36,3,34,12,17,0,True,False
example/biology/Book 1/2-2細胞的構造/中等/d2-2m-題目卷.docx,biology,Book 1,2-2細胞的構造,中等,150,17,49,49,150,150,17,,150,17,49,150,167,199,20,58,27,23,0,True,False
example/biology/Book 1/2-2細胞的構造/困難/d2-2h-題目卷.docx,biology,Book 1,2-2細胞的構造,困難,11,0,0,0,11,11,0,,11,0,0,11,11,11,2,4,0,1,0,True,False
example/biology/Book 1/2-2細胞的構造/簡單/d2-2e-題目卷.docx,biology,Book 1,2-2細胞的構造,簡單,47,3,8,8,47,47,3,,47,3,8,47,50,55,1,10,5,6,0,True,False
example/biology/Book 1/2-3物質進出細胞的方式/中等/d2-3m-題目卷.docx,biology,Book 1,2-3物質進出細胞的方式,中等,138,20,48,42,138,138,20,,138,20,48,138,158,186,9,72,46,20,0,True,False
example/biology/Book 1/2-3物質進出細胞的方式/困難/d2-3h-題目卷.docx,biology,Book 1,2-3物質進出細胞的方式,困難,17,2,6,6,17,17,2,,17,2,6,17,19,23,1,13,29,2,0,True,False
